Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
56,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,19281408,19267584,43352064,845736864,19281408,19267584,43352064,845736864
57,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,845736864,19270656,19267584,24084480,845736864
58,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,19365888,3211264,308281344,848948128,25788416,19365888,616562688,845736864
59,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,3211776,3211264,4014080,848948128,3211776,3211264,4014080,848948128
60,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,3309568,19267584,308281344,868215712,41844736,3309568,616562688,848948128
61,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,868215712,19270656,19267584,24084480,868215712
62,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,19281408,19267584,43352064,868215712,19281408,19267584,43352064,868215712
63,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,868215712,19270656,19267584,24084480,868215712
64,"Conv2d(384, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",147456,301056,75264,19415040,4816896,462422016,873032608,29048832,19415040,924844032,868215712
65,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,75264,75264,4817664,4816896,6021120,873032608,4817664,4816896,6021120,873032608
66,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,75264,451584,5038080,28901376,693633024,901933984,62840832,5038080,1387266048,873032608
67,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,28905984,28901376,36126720,901933984,28905984,28901376,36126720,901933984
68,"Conv2d(576, 576, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=576, bias=False)",20736,451584,451584,28922112,28901376,65028096,901933984,28922112,28901376,65028096,901933984
69,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,28905984,28901376,36126720,901933984,28905984,28901376,36126720,901933984
70,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,451584,75264,29122560,4816896,693633024,906750880,38756352,29122560,1387266048,901933984
71,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,75264,75264,4817664,4816896,6021120,906750880,4817664,4816896,6021120,906750880
72,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,75264,451584,5038080,28901376,693633024,935652256,62840832,5038080,1387266048,906750880
73,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,28905984,28901376,36126720,935652256,28905984,28901376,36126720,935652256
74,"Conv2d(576, 576, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=576, bias=False)",20736,451584,451584,28922112,28901376,65028096,935652256,28922112,28901376,65028096,935652256
75,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,28905984,28901376,36126720,935652256,28905984,28901376,36126720,935652256
76,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,451584,75264,29122560,4816896,693633024,940469152,38756352,29122560,1387266048,935652256
77,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,75264,75264,4817664,4816896,6021120,940469152,4817664,4816896,6021120,940469152
78,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",221184,75264,451584,5038080,28901376,693633024,969370528,62840832,5038080,1387266048,940469152
79,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,451584,451584,28905984,28901376,36126720,969370528,28905984,28901376,36126720,969370528
80,"Conv2d(576, 576, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=576, bias=False)",20736,451584,112896,28922112,7225344,16257024,969370528,7246080,28901376,16257024,969370528
81,"BatchNorm2d(576, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",4608,112896,112896,7229952,7225344,9031680,969370528,7229952,7225344,9031680,969370528
82,"Conv2d(576, 160, kernel_size=(1, 1), stride=(1, 1), bias=False)",368640,112896,31360,7593984,2007040,289013760,971377568,11608064,7593984,578027520,969370528
